SampleID	Day	individual	Phenotype	Pheno_num	Final_phenotype	Trajectory	Tide	Description
32-6-15	6	32	Healthy	0	Healthy	HH	subtidal	32-6/15
32-6-18	9	32	Healthy	0	Healthy	HH	subtidal	32-6/18
32-6-21	12	32	Healthy	0	Healthy	HH	subtidal	32-6/21
32-6-24	15	32	Healthy	0	Healthy	HH	subtidal	32-6/24
33-6-09	0	33	Healthy	0	Healthy	HH	subtidal	33-6/9
33-6-12	3	33	Healthy	0	Healthy	HH	subtidal	33-6/12
33-6-15	6	33	Healthy	0	Healthy	HH	subtidal	33-6/15
33-6-18	9	33	Healthy	0	Healthy	HH	subtidal	33-6/18
33-6-21	12	33	Healthy	0	Healthy	HH	subtidal	33-6/21
33-6-24	15	33	Healthy	0	Healthy	HH	subtidal	33-6/24
34-6-09	0	34	Healthy	0	Healthy	HH	subtidal	34-6/9
34-6-12	3	34	Healthy	0	Healthy	HH	subtidal	34-6/12
34-6-15	6	34	Healthy	0	Healthy	HH	subtidal	34-6/15
34-6-18	9	34	Healthy	0	Healthy	HH	subtidal	34-6/18
34-6-21	12	34	Healthy	0	Healthy	HH	subtidal	34-6/21
34-6-24	15	34	Healthy	0	Healthy	HH	subtidal	34-6/24
35-6-09	0	35	Healthy	0	Healthy	HH	subtidal	35-6/9
35-6-12	3	35	Healthy	0	Healthy	HH	subtidal	35-6/12
35-6-15	6	35	Healthy	0	Healthy	HH	subtidal	35-6/15
35-6-18	9	35	Healthy	0	Healthy	HH	subtidal	35-6/18
35-6-21	12	35	Healthy	0	Healthy	HH	subtidal	35-6/21
35-6-24	15	35	Healthy	0	Healthy	HH	subtidal	35-6/24
36-6-09	0	36	Healthy	0	Sick	HS	subtidal	36-6/9
37-6-09	0	37	Healthy	0	Sick	HS	subtidal	37-6/9
37-6-12	3	37	Healthy	0	Sick	HS	subtidal	37-6/12
37-6-18	9	37	Healthy	0	Sick	HS	subtidal	37-6/18
38-6-09	0	38	Healthy	0	Sick	HS	subtidal	38-6/9
38-6-12	3	38	Healthy	0	Sick	HS	subtidal	38-6/12
38-6-21	12	38	Healthy	0	Sick	HS	subtidal	38-6/21
01-5-05	0	1	Sick	1	Sick	SS	intertidal	1-5/5
02-5-05	0	2	Sick	1	Sick	SS	intertidal	2-5/5
02-5-08	3	2	Sick	2	Sick	SS	intertidal	2-5/8
02-5-11	6	2	Sick	2	Sick	SS	intertidal	2-5/11
02-5-14	9	2	Sick	2	Sick	SS	intertidal	2-5/14
02-5-17	12	2	Sick	2	Sick	SS	intertidal	2-5/17
03-5-08	3	3	Sick	2	Sick	HS	intertidal	3-5/8
03-5-11	6	3	Sick	4	Sick	HS	intertidal	3-5/11
04-5-05	0	4	Sick	1	Sick	SS	intertidal	4-5/5
04-5-08	3	4	Sick	2	Sick	SS	intertidal	4-5/8
04-5-11	6	4	Sick	2	Sick	SS	intertidal	4-5/11
04-5-14	9	4	Sick	2	Sick	SS	intertidal	4-5/14
04-5-17	12	4	Sick	2	Sick	SS	intertidal	4-5/17
05-5-05	0	5	Sick	1	Sick	SS	intertidal	5-5/5
05-5-08	3	5	Sick	2	Sick	SS	intertidal	5-5/8
05-5-11	6	5	Sick	4	Sick	SS	intertidal	5-5/11
06-5-05	0	6	Sick	1	Sick	SS	intertidal	6-5/5
06-5-08	3	6	Sick	2	Sick	SS	intertidal	6-5/8
06-5-11	6	6	Sick	2	Sick	SS	intertidal	6-5/11
06-5-14	9	6	Sick	4	Sick	SS	intertidal	6-5/14
07-5-08	3	7	Sick	1	Sick	HS	intertidal	7-5/8
07-5-11	6	7	Sick	4	Sick	HS	intertidal	7-5/11
08-5-11	6	8	Sick	1	Sick	HS	intertidal	8-5/11
08-5-14	9	8	Sick	1	Sick	HS	intertidal	8-5/14
08-5-17	12	8	Sick	2	Sick	HS	intertidal	8-5/17
08-5-20	15	8	Sick	3	Sick	HS	intertidal	8-5/20
09-5-14	9	9	Sick	2	Sick	HS	intertidal	9-5/14
09-5-17	12	9	Sick	2	Sick	HS	intertidal	9-5/17
11-5-05	0	11	Sick	1	Sick	SS	intertidal	11-5/5
11-5-08	3	11	Sick	2	Sick	SS	intertidal	11-5/8
11-5-11	6	11	Sick	2	Sick	SS	intertidal	11-5/11
11-5-14	9	11	Sick	2	Sick	SS	intertidal	11-5/14
12-5-05	0	12	Sick	1	Sick	SS	intertidal	12-5/5
12-5-08	3	12	Sick	4	Sick	SS	intertidal	12-5/8
13-5-05	0	13	Sick	1	Sick	SS	intertidal	13-5/5
13-5-08	3	13	Sick	2	Sick	SS	intertidal	13-5/8
13-5-11	6	13	Sick	3	Sick	SS	intertidal	13-5/11
13-5-14	9	13	Sick	4	Sick	SS	intertidal	13-5/14
14-5-08	3	14	Sick	2	Sick	HS	intertidal	14-5/8
14-5-11	6	14	Sick	2	Sick	HS	intertidal	14-5/11
15-5-17	12	15	Sick	3	Sick	SS	intertidal	15-5/17
15-5-20	15	15	Sick	3	Sick	SS	intertidal	15-5/20
16-5-08	3	16	Sick	2	Sick	HS	intertidal	16-5/8
16-5-11	6	16	Sick	2	Sick	HS	intertidal	16-5/11
16-5-14	9	16	Sick	3	Sick	HS	intertidal	16-5/14
17-5-05	0	17	Sick	1	Sick	SS	intertidal	17-5/5
17-5-08	3	17	Sick	1	Sick	SS	intertidal	17-5/8
17-5-11	6	17	Sick	1	Sick	SS	intertidal	17-5/11
17-5-14	9	17	Sick	1	Sick	SS	intertidal	17-5/14
17-5-17	12	17	Sick	2	Sick	SS	intertidal	17-5/17
18-5-08	3	18	Sick	2	Sick	HS	intertidal	18-5/8
18-5-11	6	18	Sick	2	Sick	HS	intertidal	18-5/11
18-5-14	9	18	Sick	2	Sick	HS	intertidal	18-5/14
20-5-20	15	20	Sick	2	Sick	HS	intertidal	20-5/20
21-5-08	3	21	Sick	1	Sick	HS	intertidal	21-5/8
21-5-11	6	21	Sick	3	Sick	HS	intertidal	21-5/11
21-5-14	9	21	Sick	4	Sick	HS	intertidal	21-5/14
21-5-17	12	21	Sick	4	Sick	HS	intertidal	21-5/17
22-5-08	3	22	Sick	1	Sick	HS	intertidal	22-5/8
22-5-11	6	22	Sick	1	Sick	HS	intertidal	22-5/11
22-5-14	9	22	Sick	2	Sick	HS	intertidal	22-5/14
23-5-05	0	23	Sick	1	Sick	SS	intertidal	23-5/5
23-5-08	3	23	Sick	2	Sick	SS	intertidal	23-5/8
23-5-11	6	23	Sick	2	Sick	SS	intertidal	23-5/11
23-5-14	9	23	Sick	2	Sick	SS	intertidal	23-5/14
23-5-17	12	23	Sick	2	Sick	SS	intertidal	23-5/17
25-5-05	0	25	Sick	1	Sick	SS	intertidal	25-5/5
25-5-08	3	25	Sick	2	Sick	SS	intertidal	25-5/8
26-5-08	3	26	Sick	2	Sick	HS	intertidal	26-5/8
26-5-11	6	26	Sick	3	Sick	HS	intertidal	26-5/11
28-5-08	3	28	Sick	1	Sick	HS	intertidal	28-5/8
28-5-11	6	28	Sick	1	Sick	HS	intertidal	28-5/11
28-5-14	9	28	Sick	2	Sick	HS	intertidal	28-5/14
28-5-17	12	28	Sick	2	Sick	HS	intertidal	28-5/17
29-5-08	3	29	Sick	2	Sick	HS	intertidal	29-5/8
29-5-11	6	29	Sick	2	Sick	HS	intertidal	29-5/11
29-5-14	9	29	Sick	2	Sick	HS	intertidal	29-5/14
36-6-12	3	36	Sick	1	Sick	HS	subtidal	36-6/12
36-6-15	6	36	Sick	2	Sick	HS	subtidal	36-6/15
36-6-18	9	36	Sick	3	Sick	HS	subtidal	36-6/18
37-6-15	6	37	Sick	1	Sick	HS	subtidal	37-6/15
37-6-21	12	37	Sick	2	Sick	HS	subtidal	37-6/21
38-6-15	6	38	Sick	1	Sick	HS	subtidal	38-6/15
38-6-18	9	38	Sick	2	Sick	HS	subtidal	38-6/18
01-5-08	3	1	Sick	3	Sick	SS	intertidal	1-5/8
